mT2prime_W_UC_f2_Parameter0: value, ucty [GeV] 
262.3022974344256,50.784004355608126
159.98053426784793,0.013834604250259246
232.2949266545482,24.222882019482157
428.7877129889824,175.7010485590017
706.1895968527075,15.499754172574002
175.14799791132867,8.834768468844928
182.31043547843143,9.407271596397246
173.65830820857082,11.180108974342737
182.0585343292362,10.05557489325038
184.09827329795485,15.803703505521089
174.45884965152842,12.956480158903705
177.79452913002328,12.931001221192764
167.41700416985722,9.488265736141294
176.24709842615397,17.056659720645655
176.28058611201715,14.093515268196901
184.6595975685826,38.904422998045725
178.21923680020572,19.987596503033025
182.23787402795656,52.804450944224364
169.55660476946508,24.836330224489192
