mT2prime_W_UC_f1_Parameter0: value, ucty [GeV] 
90.8165585686911,6.6511346698402
111.04490554454149,5.055749954727688
111.17834015576949,6.4149128781628235
116.71041554693916,7.824474908781105
120.9962153705261,7.301218814082215
123.1092543307221,8.603492485303674
48.64829141099857,2.342179512750951
49.42764275257377,2.1880437206760632
48.36690211424969,2.291707163897695
46.960083858581044,2.7343662772323762
47.65310667778931,2.380390719072974
44.24192708304237,1.7571553828660869
44.82552225706449,1.4335677800825164
54.48073689116521,1.7252708114419852
43.596152766468535,1.325618930806393
42.998049304179084,1.46455230097631
41.73249352547338,1.1897299585326937
41.10643227376043,1.4946968492460178
41.64982096363386,1.3813105286876046
